Time,VehicleID,X,Y,Speed,Angle
0.00,0,2148.40,587.70,22.47,180.00
1.00,0,2148.40,563.56,24.56,180.00
2.00,0,2148.40,538.00,25.89,180.00
3.00,0,2148.40,510.56,28.02,180.00
4.00,0,2148.40,481.07,29.82,180.00
5.00,0,2148.40,449.88,31.60,180.00
6.00,0,2148.40,416.68,33.68,180.00
7.00,0,2148.40,381.72,35.51,180.00
8.00,0,2148.40,344.35,37.94,180.00
9.00,0,2148.40,304.75,40.03,180.00
10.00,0,2148.40,263.37,41.93,180.00
11.00,0,2148.40,219.68,44.20,180.00
12.00,0,2148.40,178.56,40.13,180.00
13.00,0,2148.40,141.54,35.89,180.00
14.00,0,2148.40,109.03,31.39,180.00
15.00,0,2148.40,81.01,26.89,180.00
16.00,0,2148.40,57.49,22.39,180.00
17.00,0,2148.40,38.47,17.89,180.00
18.00,0,2148.40,23.96,13.39,180.00
19.00,0,2148.40,13.94,8.89,180.00
20.00,0,2148.40,7.20,6.84,180.00
21.00,0,2145.57,2.14,6.12,214.46
22.00,0,2138.96,1.60,7.11,268.11
23.00,0,2130.13,1.60,9.47,270.00
24.00,0,2119.15,1.60,11.52,270.00
25.00,0,2106.50,1.60,13.09,270.00
26.00,0,2091.92,1.60,15.14,270.00
27.00,0,2075.75,1.60,16.50,270.00
28.00,0,2057.69,1.60,18.67,270.00
29.00,0,2037.73,1.60,20.48,270.00
30.00,0,2015.85,1.60,22.34,270.00
31.00,0,1992.22,1.60,24.11,270.00
32.00,0,1966.76,1.60,26.05,270.00
33.00,0,1938.94,1.60,28.41,270.00
34.00,0,1909.21,1.60,30.16,270.00
35.00,0,1877.53,1.60,32.25,270.00
36.00,0,1843.54,1.60,34.51,270.00
37.00,0,1807.50,1.60,36.68,270.00
38.00,0,1769.08,1.60,38.96,270.00
39.00,0,1728.39,1.60,41.25,270.00
40.00,0,1685.44,1.60,43.45,270.00
41.00,0,1640.54,1.60,45.53,270.00
42.00,0,1593.60,1.60,47.34,270.00
43.00,0,1544.82,1.60,49.20,270.00
44.00,0,1493.88,1.60,51.41,270.00
45.00,0,1440.79,1.60,53.51,270.00
46.00,0,1385.66,1.60,55.59,270.00
