Time,VehicleID,X,Y,Speed,Angle
0.00,0,2148.40,587.70,0.00,180.00
0.10,0,2148.40,587.67,0.25,180.00
0.20,0,2148.40,587.62,0.50,180.00
0.30,0,2148.40,587.55,0.73,180.00
0.40,0,2148.40,587.46,0.94,180.00
0.50,0,2148.40,587.34,1.20,180.00
0.60,0,2148.40,587.19,1.46,180.00
0.70,0,2148.40,587.03,1.64,180.00
0.80,0,2148.40,586.84,1.83,180.00
0.90,0,2148.40,586.64,2.06,180.00
1.00,0,2148.40,586.41,2.24,180.00
1.10,0,2148.40,586.17,2.39,180.00
1.20,0,2148.40,585.91,2.62,180.00
1.30,0,2148.40,585.62,2.87,180.00
1.40,0,2148.40,585.31,3.12,180.00
1.50,0,2148.40,584.98,3.35,180.00
1.60,0,2148.40,584.62,3.59,180.00
1.70,0,2148.40,584.24,3.76,180.00
1.80,0,2148.40,583.85,3.95,180.00
1.90,0,2148.40,583.43,4.16,180.00
2.00,0,2148.40,583.00,4.29,180.00
2.10,0,2148.40,582.56,4.45,180.00
2.20,0,2148.40,582.09,4.68,180.00
2.30,0,2148.40,581.61,4.82,180.00
2.40,0,2148.40,581.11,5.00,180.00
2.50,0,2148.40,580.59,5.19,180.00
2.60,0,2148.40,580.05,5.35,180.00
2.70,0,2148.40,579.50,5.53,180.00
2.80,0,2148.40,578.93,5.73,180.00
2.90,0,2148.40,578.33,5.98,180.00
3.00,0,2148.40,577.71,6.18,180.00
3.10,0,2148.40,577.07,6.36,180.00
3.20,0,2148.40,576.42,6.52,180.00
3.30,0,2148.40,575.75,6.68,180.00
3.40,0,2148.40,575.07,6.82,180.00
3.50,0,2148.40,574.37,7.03,180.00
3.60,0,2148.40,573.64,7.24,180.00
3.70,0,2148.40,572.90,7.40,180.00
3.80,0,2148.40,572.14,7.65,180.00
3.90,0,2148.40,571.35,7.87,180.00
4.00,0,2148.40,570.54,8.12,180.00
4.10,0,2148.40,569.71,8.35,180.00
4.20,0,2148.40,568.85,8.51,180.00
4.30,0,2148.40,567.99,8.69,180.00
4.40,0,2148.40,567.10,8.83,180.00
4.50,0,2148.40,566.19,9.08,180.00
4.60,0,2148.40,565.27,9.26,180.00
4.70,0,2148.40,564.32,9.51,180.00
4.80,0,2148.40,563.34,9.74,180.00
4.90,0,2148.40,562.35,9.93,180.00
5.00,0,2148.40,561.34,10.07,180.00
5.10,0,2148.40,560.31,10.31,180.00
5.20,0,2148.40,559.26,10.54,180.00
5.30,0,2148.40,558.19,10.70,180.00
5.40,0,2148.40,557.10,10.88,180.00
5.50,0,2148.40,555.99,11.09,180.00
5.60,0,2148.40,554.86,11.26,180.00
5.70,0,2148.40,553.72,11.45,180.00
5.80,0,2148.40,552.55,11.70,180.00
5.90,0,2148.40,551.36,11.93,180.00
6.00,0,2148.40,550.14,12.19,180.00
6.10,0,2148.40,548.90,12.43,180.00
6.20,0,2148.40,547.64,12.60,180.00
6.30,0,2148.40,546.36,12.79,180.00
6.40,0,2148.40,545.05,13.02,180.00
6.50,0,2148.40,543.73,13.20,180.00
6.60,0,2148.40,542.39,13.41,180.00
